,inventory,accounts_receivable,accounts_payable
2024-03-31,1304000000.0,44029000000.0,18087000000.0
2024-06-30,1246000000.0,56924000000.0,21996000000.0
2024-09-30,1626000000.0,44148000000.0,22768000000.0
2024-12-31,909000000.0,48188000000.0,22608000000.0
2025-03-31,848000000.0,51700000000.0,26250000000.0
