,Revenue,EBIT,TotalAssets,TotalDebt,CapEx
2023-09-30,,,,,
2023-12-31,,,,,
2024-03-31,6016000000.0,1149000000.0,55243000000.0,22157000000.0,375000000.0
2024-06-30,6255000000.0,1272000000.0,43377000000.0,13695000000.0,269000000.0
2024-09-30,6294000000.0,1316000000.0,40875000000.0,13800000000.0,246000000.0
2024-12-31,6010000000.0,1085000000.0,39868000000.0,13659000000.0,291000000.0
2025-03-31,5954000000.0,1246000000.0,39951000000.0,14067000000.0,236000000.0
