,Revenue,EBIT,TotalAssets,TotalDebt,CapEx
2023-10-31,,,,,
2024-01-31,,,,,
2024-04-30,6646000000.0,1912000000.0,31949000000.0,5998000000.0,257000000.0
2024-07-31,6778000000.0,1942000000.0,33647000000.0,6671000000.0,297000000.0
2024-10-31,7045000000.0,2046000000.0,34409000000.0,6606000000.0,407000000.0
2025-01-31,7166000000.0,2175000000.0,33338000000.0,6588000000.0,381000000.0
2025-04-30,7100000000.0,2169000000.0,33632000000.0,6670000000.0,510000000.0
