,revenue_growth_1y,revenue_growth_2y,ebit_margin,terminal_growth_proxy
2015-06-30,,0.0,,
2015-09-30,,0.0,,
2015-12-31,0.032348759394075444,0.03757588607244111,0.3282126936275296,
2016-03-31,0.032348759394075444,0.03757588607244111,0.0810108720053879,
2016-06-30,0.03591687084662709,0.045732907746107054,0.0987819710563889,
2016-09-30,0.039409657424105626,0.053656568721689446,0.2705829824787831,
2016-12-31,0.042829479439571605,0.0613573912960399,0.3576302954364237,
2017-03-31,0.042829479439571605,0.0613573912960399,0.08637347388913627,
2017-06-30,0.05564195846081077,0.06449007760298975,0.09953274367604467,
2017-09-30,0.0680987586373536,0.06752698579784067,0.27833505045657586,
2017-12-31,0.08021448786058283,0.07047247753393404,0.3564867682836006,
2018-03-31,0.08021448786058283,0.07047247753393404,0.10587359118216573,
2018-06-30,0.07341235940204927,0.06336466346876102,0.20536246788289866,
2018-09-30,0.06695551903880692,0.056573418882394755,0.1007537601603665,
2018-12-31,0.06081832639291074,0.05007766376249223,0.3747276688453159,
2019-03-31,0.06081832639291074,0.05007766376249223,0.10326061976595607,
2019-06-30,0.05341101917618962,0.04204264184269246,0.203399756731188,
2019-09-30,0.046292342622231475,0.03426188986071388,0.1007565205356012,0.054185048099851085
2019-12-31,0.03944574909661269,0.02672290065559091,0.3887901974887131,0.056557512016420695
2020-03-31,0.03944574909661269,0.02672290065559091,0.03559961524796575,0.0589299759329903
2020-06-30,0.030796951666291372,0.029838593346783515,0.048410686844438625,0.06038782162712051
2020-09-30,0.022369765353882798,0.03286541111117813,0.09937208169974189,0.06096137872696433
2020-12-31,0.014155780276946528,0.03580714069271762,0.2985802536035548,0.06067940119838442
2021-03-31,0.014155780276946528,0.03580714069271762,0.1475352435577861,0.060397423669804516
2021-06-30,0.02888112603754389,0.07200693477675979,0.1252686343005551,0.0583270064369279
2021-09-30,0.0434688051446801,0.10670138491349923,0.11653989412221369,0.054516256996638666
2021-12-31,0.05792073917582563,0.1400323027188788,0.48962178069692314,0.049011364698002303
2022-03-31,0.05792073917582563,-0.4130593400861752,0.08272160067078234,0.04350647239936595
2022-06-30,0.11694037253389156,-0.4175358821999685,0.08762261655461258,0.039795536285657164
2022-09-30,0.17376576025158386,-0.4189563725937695,0.09498494877835792,0.03783831012781327
2022-12-31,0.22851703640390064,0.1745914607446375,0.35872411515598895,0.037596844526389506
2023-03-31,-0.5,-0.40653152959715655,0.12406853413108512,0.037355378924965744
2023-06-30,-0.5,0.0,0.12697656283845254,0.042649491704774244
2023-09-30,-0.5,0.0,0.33908065353571454,0.05327227650722027
2023-12-31,0.12303294034306522,0.0,0.3896928603956889,0.06902821711616093
2024-03-31,0.08158346855015752,0.0,0.4126419776653622,0.009544249414755438
2024-06-30,,0.0,0.5,0.0
2024-09-30,,0.0,0.3980213803450863,0.0
2024-12-31,,0.0,0.3932736150848183,0.0
2025-03-31,,0.0,0.40611556026209544,0.0
