,Revenue,EBIT,TotalAssets,TotalDebt,CapEx
2023-09-30,,,,,
2023-12-31,,,,,
2024-03-31,11300000000.0,3674000000.0,99392000000.0,42550000000.0,370000000.0
2024-06-30,12363000000.0,3971000000.0,101202000000.0,43817000000.0,422000000.0
2024-09-30,11854000000.0,3516000000.0,106266000000.0,46264000000.0,469000000.0
2024-12-31,11544000000.0,2865000000.0,100549000000.0,44522000000.0,803000000.0
2025-03-31,11129000000.0,3718000000.0,101716000000.0,49111000000.0,309000000.0
