,revenue_growth_1y,revenue_growth_2y,ebit_margin,capex_pct_revenue,terminal_growth_proxy
2015-06-30,,0.0,,,
2015-09-30,,0.0,,,
2015-12-31,,0.0,,,
2016-03-31,,0.0,,,
2016-06-30,,0.0,,,
2016-09-30,,0.0,,,
2016-12-31,0.05141319871134886,0.04317439900025777,0.23338536650171046,0.04716197814606928,
2017-03-31,0.07716330513988279,0.011514707705087446,0.22667534157449576,0.037345478204294076,
2017-06-30,1.1341869398207427,0.4328324964447581,0.27567221510883483,0.07541613316261203,
2017-09-30,-0.0024473813020068347,-0.01113641020773859,0.5,0.11184532550171317,
2017-12-31,0.03500015794295108,0.007537063688668466,0.23900022112013142,0.043371134346274126,
2018-03-31,-0.050132882338729146,-0.012337523038278175,0.1216477410002416,0.03672384633969558,
2018-06-30,-0.03803695704343657,-0.34385553575804395,0.14404847612191024,0.04013678905687545,
2018-09-30,-0.019749754661432806,0.012071399731784727,0.5,0.12831207065750735,
2018-12-31,-0.019197314207233362,-0.008905825026957026,0.21996032351594688,0.048130627193651764,
2019-03-31,0.026961719445504295,0.06096738255697698,0.14447411929289075,0.049726567467887575,
2019-06-30,-0.5,0.053661861295813296,0.10614943245603094,0.05064238493201946,
2019-09-30,0.04492554123388803,0.05783216296141247,0.25165811537980226,0.14528844950569392,
2019-12-31,0.0014936519790889058,0.04888895305825747,0.1921209858103062,0.05286905650983321,
2020-03-31,0.09609907120743033,0.045645548454683604,0.20594427244582042,0.041114551083591334,
2020-06-30,1.4806298773690076,0.5630113433077852,0.24247491638795987,0.09908026755852843,
2020-09-30,0.07089820359281429,0.015980102591716783,0.22862275449101796,0.12922155688622755,0.05730296093372871
2020-12-31,0.09852721849366142,-0.09841399722064448,0.22250186428038776,0.04663808103405419,0.05314299870604038
2021-03-31,-0.002485594848039785,-0.17289451027638214,0.22528527849960456,0.03502429104056039,0.054720979211669345
2021-06-30,-0.015167687208583747,-0.3161357184367646,0.11072411662266164,0.039548339980899946,0.08359122400735808
2021-09-30,-0.03612167300380231,-0.16263185089673227,0.5,0.11708789979870275,0.08970335608192652
2021-12-31,-0.26004808372224575,-0.5,0.20842879366426248,0.045340121623532736,0.09499727779448569
2022-03-31,-0.31419186770868723,-0.17453596626302514,0.18586476384641523,0.04802355872692264,0.09896788508537648
2022-06-30,-0.5,-0.40267552213403157,0.09988021219553933,0.046089783811533856,0.1
2022-09-30,-0.27253741733379744,-0.14545501672692873,0.5,0.14421626638821208,0.09950933104308342
2022-12-31,-0.5,-0.030786191731200563,0.1670043194067505,0.06685524253660029,0.07943843358349904
2023-03-31,-0.006440957886044596,-0.008375287418265431,0.20495458298926508,0.07844756399669695,0.05100896798731643
2023-06-30,-0.24864864864864866,0.0,-0.5,0.10234234234234234,0.053285978279467926
2023-09-30,0.00382775119617218,0.0,-0.4937799043062201,0.20047846889952153,0.0268307317321608
2023-12-31,2.0,0.0,-0.5,0.26907697434188604,0.0
2024-03-31,-0.010305851063829752,0.0,0.1909906914893617,0.06233377659574468,0.0
2024-06-30,,0.0,0.20335731414868105,0.10295763389288569,0.0
2024-09-30,,0.0,0.20908802033682872,0.14140451223387354,0.0
2024-12-31,,0.0,0.19621566632756868,0.04805696846388606,0.053912741164937605
2025-03-31,,0.0,0.20927107826671146,0.03963721867651999,0.05326105314695509
