taxonomy,concept,unit,value,start,end,filed,accn,form,frame,fy,fp
dei,EntityCommonStockSharesOutstanding,shares,895816758,,2009-06-27,2009-07-22,0001193125-09-153165,10-Q,CY2009Q2I,2009,Q3
dei,EntityCommonStockSharesOutstanding,shares,900678473,,2009-10-16,2009-10-27,0001193125-09-214859,10-K,,2009,FY
dei,EntityCommonStockSharesOutstanding,shares,900678473,,2009-10-16,2010-01-25,0001193125-10-012091,10-K/A,CY2009Q3I,2009,FY
dei,EntityCommonStockSharesOutstanding,shares,906794589,,2010-01-15,2010-01-25,0001193125-10-012085,10-Q,CY2009Q4I,2010,Q1
dei,EntityCommonStockSharesOutstanding,shares,909938383,,2010-04-09,2010-04-21,0001193125-10-088957,10-Q,CY2010Q1I,2010,Q2
dei,EntityCommonStockSharesOutstanding,shares,913562880,,2010-07-09,2010-07-21,0001193125-10-162840,10-Q,CY2010Q2I,2010,Q3
dei,EntityCommonStockSharesOutstanding,shares,917307099,,2010-10-15,2010-10-27,0001193125-10-238044,10-K,CY2010Q3I,2010,FY
dei,EntityCommonStockSharesOutstanding,shares,921278012,,2011-01-07,2011-01-19,0001193125-11-010144,10-Q,CY2010Q4I,2011,Q1
dei,EntityCommonStockSharesOutstanding,shares,924754561,,2011-04-08,2011-04-21,0001193125-11-104388,10-Q,CY2011Q1I,2011,Q2
dei,EntityCommonStockSharesOutstanding,shares,927090886,,2011-07-08,2011-07-20,0001193125-11-192493,10-Q,CY2011Q2I,2011,Q3
dei,EntityCommonStockSharesOutstanding,shares,929409000,,2011-10-14,2011-10-26,0001193125-11-282113,10-K,CY2011Q3I,2011,FY
dei,EntityCommonStockSharesOutstanding,shares,932370000,,2012-01-13,2012-01-25,0001193125-12-023398,10-Q,CY2011Q4I,2012,Q1
dei,EntityCommonStockSharesOutstanding,shares,935062000,,2012-04-13,2012-04-25,0001193125-12-182321,10-Q,CY2012Q1I,2012,Q2
dei,EntityCommonStockSharesOutstanding,shares,937406000,,2012-07-13,2012-07-25,0001193125-12-314552,10-Q,CY2012Q2I,2012,Q3
dei,EntityCommonStockSharesOutstanding,shares,940692000,,2012-10-19,2012-10-31,0001193125-12-444068,10-K,CY2012Q3I,2012,FY
dei,EntityCommonStockSharesOutstanding,shares,939058000,,2013-01-11,2013-01-24,0001193125-13-022339,10-Q,CY2012Q4I,2013,Q1
dei,EntityCommonStockSharesOutstanding,shares,938649000,,2013-04-12,2013-04-24,0001193125-13-168288,10-Q,CY2013Q1I,2013,Q2
dei,EntityCommonStockSharesOutstanding,shares,908497000,,2013-07-12,2013-07-24,0001193125-13-300670,10-Q,CY2013Q2I,2013,Q3
dei,EntityCommonStockSharesOutstanding,shares,899738000,,2013-10-18,2013-10-30,0001193125-13-416534,10-K,CY2013Q3I,2013,FY
dei,EntityCommonStockSharesOutstanding,shares,891989000,,2014-01-10,2014-01-28,0001193125-14-024487,10-Q,CY2013Q4I,2014,Q1
dei,EntityCommonStockSharesOutstanding,shares,861381000,,2014-04-11,2014-04-24,0001193125-14-157311,10-Q,CY2014Q1I,2014,Q2
dei,EntityCommonStockSharesOutstanding,shares,5987867000,,2014-07-11,2014-07-23,0001193125-14-277160,10-Q,CY2014Q2I,2014,Q3
dei,EntityCommonStockSharesOutstanding,shares,5864840000,,2014-10-10,2014-10-27,0001193125-14-383437,10-K,CY2014Q3I,2014,FY
dei,EntityCommonStockSharesOutstanding,shares,5824748000,,2015-01-09,2015-01-28,0001193125-15-023697,10-Q,CY2014Q4I,2015,Q1
dei,EntityCommonStockSharesOutstanding,shares,5761030000,,2015-04-10,2015-04-28,0001193125-15-153166,10-Q,CY2015Q1I,2015,Q2
dei,EntityCommonStockSharesOutstanding,shares,5702722000,,2015-07-10,2015-07-22,0001193125-15-259935,10-Q,CY2015Q2I,2015,Q3
dei,EntityCommonStockSharesOutstanding,shares,5575331000,,2015-10-09,2015-10-28,0001193125-15-356351,10-K,CY2015Q3I,2015,FY
dei,EntityCommonStockSharesOutstanding,shares,5544583000,,2016-01-08,2016-01-27,0001193125-16-439878,10-Q,CY2015Q4I,2016,Q1
dei,EntityCommonStockSharesOutstanding,shares,5477425000,,2016-04-08,2016-04-27,0001193125-16-559625,10-Q,CY2016Q1I,2016,Q2
dei,EntityCommonStockSharesOutstanding,shares,5388443000,,2016-07-15,2016-07-27,0001628280-16-017809,10-Q,CY2016Q2I,2016,Q3
dei,EntityCommonStockSharesOutstanding,shares,5332313000,,2016-10-14,2016-10-26,0001628280-16-020309,10-K,CY2016Q3I,2016,FY
dei,EntityCommonStockSharesOutstanding,shares,5246540000,,2017-01-20,2017-02-01,0001628280-17-000717,10-Q,CY2016Q4I,2017,Q1
dei,EntityCommonStockSharesOutstanding,shares,5213840000,,2017-04-21,2017-05-03,0001628280-17-004790,10-Q,CY2017Q1I,2017,Q2
dei,EntityCommonStockSharesOutstanding,shares,5165228000,,2017-07-21,2017-08-02,0000320193-17-000009,10-Q,CY2017Q2I,2017,Q3
dei,EntityCommonStockSharesOutstanding,shares,5134312000,,2017-10-20,2017-11-03,0000320193-17-000070,10-K,CY2017Q3I,2017,FY
dei,EntityCommonStockSharesOutstanding,shares,5074013000,,2018-01-19,2018-02-02,0000320193-18-000007,10-Q,CY2017Q4I,2018,Q1
dei,EntityCommonStockSharesOutstanding,shares,4915138000,,2018-04-20,2018-05-02,0000320193-18-000070,10-Q,CY2018Q1I,2018,Q2
dei,EntityCommonStockSharesOutstanding,shares,4829926000,,2018-07-20,2018-08-01,0000320193-18-000100,10-Q,CY2018Q2I,2018,Q3
dei,EntityCommonStockSharesOutstanding,shares,4745398000,,2018-10-26,2018-11-05,0000320193-18-000145,10-K,CY2018Q3I,2018,FY
dei,EntityCommonStockSharesOutstanding,shares,4715280000,,2019-01-18,2019-01-30,0000320193-19-000010,10-Q,CY2018Q4I,2019,Q1
dei,EntityCommonStockSharesOutstanding,shares,4601075000,,2019-04-22,2019-05-01,0000320193-19-000066,10-Q,CY2019Q1I,2019,Q2
dei,EntityCommonStockSharesOutstanding,shares,4519180000,,2019-07-19,2019-07-31,0000320193-19-000076,10-Q,CY2019Q2I,2019,Q3
dei,EntityCommonStockSharesOutstanding,shares,4443265000,,2019-10-18,2019-10-31,0000320193-19-000119,10-K,CY2019Q3I,2019,FY
dei,EntityCommonStockSharesOutstanding,shares,4375480000,,2020-01-17,2020-01-29,0000320193-20-000010,10-Q,CY2019Q4I,2020,Q1
dei,EntityCommonStockSharesOutstanding,shares,4334335000,,2020-04-17,2020-05-01,0000320193-20-000052,10-Q,CY2020Q1I,2020,Q2
dei,EntityCommonStockSharesOutstanding,shares,4275634000,,2020-07-17,2020-07-31,0000320193-20-000062,10-Q,CY2020Q2I,2020,Q3
dei,EntityCommonStockSharesOutstanding,shares,17001802000,,2020-10-16,2020-10-30,0000320193-20-000096,10-K,CY2020Q3I,2020,FY
dei,EntityCommonStockSharesOutstanding,shares,16788096000,,2021-01-15,2021-01-28,0000320193-21-000010,10-Q,CY2020Q4I,2021,Q1
dei,EntityCommonStockSharesOutstanding,shares,16687631000,,2021-04-16,2021-04-29,0000320193-21-000056,10-Q,CY2021Q1I,2021,Q2
dei,EntityCommonStockSharesOutstanding,shares,16530166000,,2021-07-16,2021-07-28,0000320193-21-000065,10-Q,CY2021Q2I,2021,Q3
dei,EntityCommonStockSharesOutstanding,shares,16406397000,,2021-10-15,2021-10-29,0000320193-21-000105,10-K,CY2021Q3I,2021,FY
dei,EntityCommonStockSharesOutstanding,shares,16319441000,,2022-01-14,2022-01-28,0000320193-22-000007,10-Q,CY2021Q4I,2022,Q1
dei,EntityCommonStockSharesOutstanding,shares,16185181000,,2022-04-15,2022-04-29,0000320193-22-000059,10-Q,CY2022Q1I,2022,Q2
dei,EntityCommonStockSharesOutstanding,shares,16070752000,,2022-07-15,2022-07-29,0000320193-22-000070,10-Q,CY2022Q2I,2022,Q3
dei,EntityCommonStockSharesOutstanding,shares,15908118000,,2022-10-14,2022-10-28,0000320193-22-000108,10-K,CY2022Q3I,2022,FY
dei,EntityCommonStockSharesOutstanding,shares,15821946000,,2023-01-20,2023-02-03,0000320193-23-000006,10-Q,CY2022Q4I,2023,Q1
dei,EntityCommonStockSharesOutstanding,shares,15728702000,,2023-04-21,2023-05-05,0000320193-23-000064,10-Q,CY2023Q1I,2023,Q2
dei,EntityCommonStockSharesOutstanding,shares,15634232000,,2023-07-21,2023-08-04,0000320193-23-000077,10-Q,CY2023Q2I,2023,Q3
dei,EntityCommonStockSharesOutstanding,shares,15552752000,,2023-10-20,2023-11-03,0000320193-23-000106,10-K,CY2023Q3I,2023,FY
dei,EntityCommonStockSharesOutstanding,shares,15441881000,,2024-01-19,2024-02-02,0000320193-24-000006,10-Q,CY2023Q4I,2024,Q1
dei,EntityCommonStockSharesOutstanding,shares,15334082000,,2024-04-19,2024-05-03,0000320193-24-000069,10-Q,CY2024Q1I,2024,Q2
dei,EntityCommonStockSharesOutstanding,shares,15204137000,,2024-07-19,2024-08-02,0000320193-24-000081,10-Q,CY2024Q2I,2024,Q3
dei,EntityCommonStockSharesOutstanding,shares,15115823000,,2024-10-18,2024-11-01,0000320193-24-000123,10-K,CY2024Q3I,2024,FY
dei,EntityCommonStockSharesOutstanding,shares,15022073000,,2025-01-17,2025-01-31,0000320193-25-000008,10-Q,CY2024Q4I,2025,Q1
dei,EntityCommonStockSharesOutstanding,shares,14935826000,,2025-04-18,2025-05-02,0000320193-25-000057,10-Q,CY2025Q1I,2025,Q2
dei,EntityPublicFloat,USD,94593000000,,2009-03-28,2009-07-22,0001193125-09-153165,10-Q,,2009,Q3
dei,EntityPublicFloat,USD,94593000000,,2009-03-28,2009-10-27,0001193125-09-214859,10-K,,2009,FY
dei,EntityPublicFloat,USD,94593000000,,2009-03-28,2010-01-25,0001193125-10-012091,10-K/A,CY2009Q1I,2009,FY
dei,EntityPublicFloat,USD,208565000000,,2010-03-27,2010-10-27,0001193125-10-238044,10-K,CY2010Q1I,2010,FY
dei,EntityPublicFloat,USD,322921000000,,2011-03-25,2011-10-26,0001193125-11-282113,10-K,CY2011Q1I,2011,FY
dei,EntityPublicFloat,USD,560356000000,,2012-03-30,2012-10-31,0001193125-12-444068,10-K,CY2012Q1I,2012,FY
dei,EntityPublicFloat,USD,416005000000,,2013-03-29,2013-10-30,0001193125-13-416534,10-K,CY2013Q1I,2013,FY
dei,EntityPublicFloat,USD,462522000000,,2014-03-28,2014-10-27,0001193125-14-383437,10-K,CY2014Q1I,2014,FY
dei,EntityPublicFloat,USD,709923000000,,2015-03-27,2015-10-28,0001193125-15-356351,10-K,CY2015Q1I,2015,FY
dei,EntityPublicFloat,USD,578807000000,,2016-03-25,2016-10-26,0001628280-16-020309,10-K,CY2016Q1I,2016,FY
dei,EntityPublicFloat,USD,747509000000,,2017-03-31,2017-11-03,0000320193-17-000070,10-K,CY2017Q1I,2017,FY
dei,EntityPublicFloat,USD,828880000000,,2018-03-30,2018-11-05,0000320193-18-000145,10-K,CY2018Q1I,2018,FY
dei,EntityPublicFloat,USD,874698000000,,2019-03-29,2019-10-31,0000320193-19-000119,10-K,CY2019Q1I,2019,FY
dei,EntityPublicFloat,USD,1070633000000,,2020-03-27,2020-10-30,0000320193-20-000096,10-K,CY2020Q1I,2020,FY
dei,EntityPublicFloat,USD,2021360000000,,2021-03-26,2021-10-29,0000320193-21-000105,10-K,CY2021Q1I,2021,FY
dei,EntityPublicFloat,USD,2830067000000,,2022-03-25,2022-10-28,0000320193-22-000108,10-K,CY2022Q1I,2022,FY
dei,EntityPublicFloat,USD,2591165000000,,2023-03-31,2023-11-03,0000320193-23-000106,10-K,CY2023Q1I,2023,FY
dei,EntityPublicFloat,USD,2628553000000,,2024-03-29,2024-11-01,0000320193-24-000123,10-K,CY2024Q1I,2024,FY
us-gaap,AccountsPayable,USD,5520000000,,2008-09-27,2009-07-22,0001193125-09-153165,10-Q,CY2008Q3I,2009,Q3
us-gaap,AccountsPayable,USD,4854000000,,2009-06-27,2009-07-22,0001193125-09-153165,10-Q,CY2009Q2I,2009,Q3
us-gaap,AccountsPayableCurrent,USD,5520000000,,2008-09-27,2009-10-27,0001193125-09-214859,10-K,,2009,FY
us-gaap,AccountsPayableCurrent,USD,5520000000,,2008-09-27,2010-01-25,0001193125-10-012091,10-K/A,CY2008Q3I,2009,FY
us-gaap,AccountsPayableCurrent,USD,5601000000,,2009-09-26,2009-10-27,0001193125-09-214859,10-K,,2009,FY
us-gaap,AccountsPayableCurrent,USD,5601000000,,2009-09-26,2010-01-25,0001193125-10-012085,10-Q,,2010,Q1
us-gaap,AccountsPayableCurrent,USD,5601000000,,2009-09-26,2010-01-25,0001193125-10-012091,10-K/A,,2009,FY
us-gaap,AccountsPayableCurrent,USD,5601000000,,2009-09-26,2010-04-21,0001193125-10-088957,10-Q,,2010,Q2
us-gaap,AccountsPayableCurrent,USD,5601000000,,2009-09-26,2010-07-21,0001193125-10-162840,10-Q,,2010,Q3
us-gaap,AccountsPayableCurrent,USD,5601000000,,2009-09-26,2010-10-27,0001193125-10-238044,10-K,CY2009Q3I,2010,FY
us-gaap,AccountsPayableCurrent,USD,6511000000,,2009-12-26,2010-01-25,0001193125-10-012085,10-Q,CY2009Q4I,2010,Q1
us-gaap,AccountsPayableCurrent,USD,5666000000,,2010-03-27,2010-04-21,0001193125-10-088957,10-Q,CY2010Q1I,2010,Q2
us-gaap,AccountsPayableCurrent,USD,8469000000,,2010-06-26,2010-07-21,0001193125-10-162840,10-Q,CY2010Q2I,2010,Q3
us-gaap,AccountsPayableCurrent,USD,12015000000,,2010-09-25,2010-10-27,0001193125-10-238044,10-K,,2010,FY
us-gaap,AccountsPayableCurrent,USD,12015000000,,2010-09-25,2011-01-19,0001193125-11-010144,10-Q,,2011,Q1
us-gaap,AccountsPayableCurrent,USD,12015000000,,2010-09-25,2011-04-21,0001193125-11-104388,10-Q,,2011,Q2
us-gaap,AccountsPayableCurrent,USD,12015000000,,2010-09-25,2011-07-20,0001193125-11-192493,10-Q,,2011,Q3
us-gaap,AccountsPayableCurrent,USD,12015000000,,2010-09-25,2011-10-26,0001193125-11-282113,10-K,CY2010Q3I,2011,FY
us-gaap,AccountsPayableCurrent,USD,14301000000,,2010-12-25,2011-01-19,0001193125-11-010144,10-Q,CY2010Q4I,2011,Q1
us-gaap,AccountsPayableCurrent,USD,13714000000,,2011-03-26,2011-04-21,0001193125-11-104388,10-Q,CY2011Q1I,2011,Q2
us-gaap,AccountsPayableCurrent,USD,15270000000,,2011-06-25,2011-07-20,0001193125-11-192493,10-Q,CY2011Q2I,2011,Q3
us-gaap,AccountsPayableCurrent,USD,14632000000,,2011-09-24,2011-10-26,0001193125-11-282113,10-K,,2011,FY
us-gaap,AccountsPayableCurrent,USD,14632000000,,2011-09-24,2012-01-25,0001193125-12-023398,10-Q,,2012,Q1
us-gaap,AccountsPayableCurrent,USD,14632000000,,2011-09-24,2012-04-25,0001193125-12-182321,10-Q,,2012,Q2
us-gaap,AccountsPayableCurrent,USD,14632000000,,2011-09-24,2012-07-25,0001193125-12-314552,10-Q,,2012,Q3
us-gaap,AccountsPayableCurrent,USD,14632000000,,2011-09-24,2012-10-31,0001193125-12-444068,10-K,,2012,FY
us-gaap,AccountsPayableCurrent,USD,14632000000,,2011-09-24,2013-04-24,0001193125-13-170623,8-K,CY2011Q3I,2012,FY
us-gaap,AccountsPayableCurrent,USD,18221000000,,2011-12-31,2012-01-25,0001193125-12-023398,10-Q,CY2011Q4I,2012,Q1
us-gaap,AccountsPayableCurrent,USD,17011000000,,2012-03-31,2012-04-25,0001193125-12-182321,10-Q,CY2012Q1I,2012,Q2
us-gaap,AccountsPayableCurrent,USD,16808000000,,2012-06-30,2012-07-25,0001193125-12-314552,10-Q,CY2012Q2I,2012,Q3
us-gaap,AccountsPayableCurrent,USD,21175000000,,2012-09-29,2012-10-31,0001193125-12-444068,10-K,,2012,FY
us-gaap,AccountsPayableCurrent,USD,21175000000,,2012-09-29,2013-01-24,0001193125-13-022339,10-Q,,2013,Q1
us-gaap,AccountsPayableCurrent,USD,21175000000,,2012-09-29,2013-04-24,0001193125-13-168288,10-Q,,2013,Q2
us-gaap,AccountsPayableCurrent,USD,21175000000,,2012-09-29,2013-04-24,0001193125-13-170623,8-K,,2012,FY
us-gaap,AccountsPayableCurrent,USD,21175000000,,2012-09-29,2013-07-24,0001193125-13-300670,10-Q,,2013,Q3
us-gaap,AccountsPayableCurrent,USD,21175000000,,2012-09-29,2013-10-30,0001193125-13-416534,10-K,CY2012Q3I,2013,FY
us-gaap,AccountsPayableCurrent,USD,26398000000,,2012-12-29,2013-01-24,0001193125-13-022339,10-Q,CY2012Q4I,2013,Q1
us-gaap,AccountsPayableCurrent,USD,14912000000,,2013-03-30,2013-04-24,0001193125-13-168288,10-Q,CY2013Q1I,2013,Q2
us-gaap,AccountsPayableCurrent,USD,15516000000,,2013-06-29,2013-07-24,0001193125-13-300670,10-Q,CY2013Q2I,2013,Q3
us-gaap,AccountsPayableCurrent,USD,22367000000,,2013-09-28,2013-10-30,0001193125-13-416534,10-K,,2013,FY
us-gaap,AccountsPayableCurrent,USD,22367000000,,2013-09-28,2014-01-28,0001193125-14-024487,10-Q,,2014,Q1
us-gaap,AccountsPayableCurrent,USD,22367000000,,2013-09-28,2014-04-24,0001193125-14-157311,10-Q,,2014,Q2
us-gaap,AccountsPayableCurrent,USD,22367000000,,2013-09-28,2014-07-23,0001193125-14-277160,10-Q,,2014,Q3
us-gaap,AccountsPayableCurrent,USD,22367000000,,2013-09-28,2014-10-27,0001193125-14-383437,10-K,,2014,FY
us-gaap,AccountsPayableCurrent,USD,22367000000,,2013-09-28,2015-01-28,0001193125-15-023732,8-K,CY2013Q3I,,
us-gaap,AccountsPayableCurrent,USD,29588000000,,2013-12-28,2014-01-28,0001193125-14-024487,10-Q,CY2013Q4I,2014,Q1
us-gaap,AccountsPayableCurrent,USD,18914000000,,2014-03-29,2014-04-24,0001193125-14-157311,10-Q,CY2014Q1I,2014,Q2
us-gaap,AccountsPayableCurrent,USD,20535000000,,2014-06-28,2014-07-23,0001193125-14-277160,10-Q,CY2014Q2I,2014,Q3
us-gaap,AccountsPayableCurrent,USD,30196000000,,2014-09-27,2014-10-27,0001193125-14-383437,10-K,,2014,FY
us-gaap,AccountsPayableCurrent,USD,30196000000,,2014-09-27,2015-01-28,0001193125-15-023697,10-Q,,2015,Q1
us-gaap,AccountsPayableCurrent,USD,30196000000,,2014-09-27,2015-01-28,0001193125-15-023732,8-K,,,
us-gaap,AccountsPayableCurrent,USD,30196000000,,2014-09-27,2015-04-28,0001193125-15-153166,10-Q,,2015,Q2
us-gaap,AccountsPayableCurrent,USD,30196000000,,2014-09-27,2015-07-22,0001193125-15-259935,10-Q,,2015,Q3
us-gaap,AccountsPayableCurrent,USD,30196000000,,2014-09-27,2015-10-28,0001193125-15-356351,10-K,CY2014Q3I,2015,FY
us-gaap,AccountsPayableCurrent,USD,38001000000,,2014-12-27,2015-01-28,0001193125-15-023697,10-Q,CY2014Q4I,2015,Q1
us-gaap,AccountsPayableCurrent,USD,23159000000,,2015-03-28,2015-04-28,0001193125-15-153166,10-Q,CY2015Q1I,2015,Q2
us-gaap,AccountsPayableCurrent,USD,26474000000,,2015-06-27,2015-07-22,0001193125-15-259935,10-Q,CY2015Q2I,2015,Q3
us-gaap,AccountsPayableCurrent,USD,35490000000,,2015-09-26,2015-10-28,0001193125-15-356351,10-K,,2015,FY
us-gaap,AccountsPayableCurrent,USD,35490000000,,2015-09-26,2016-01-27,0001193125-16-439878,10-Q,,2016,Q1
us-gaap,AccountsPayableCurrent,USD,35490000000,,2015-09-26,2016-04-27,0001193125-16-559625,10-Q,,2016,Q2
us-gaap,AccountsPayableCurrent,USD,35490000000,,2015-09-26,2016-07-27,0001628280-16-017809,10-Q,,2016,Q3
us-gaap,AccountsPayableCurrent,USD,35490000000,,2015-09-26,2016-10-26,0001628280-16-020309,10-K,CY2015Q3I,2016,FY
us-gaap,AccountsPayableCurrent,USD,33312000000,,2015-12-26,2016-01-27,0001193125-16-439878,10-Q,CY2015Q4I,2016,Q1
us-gaap,AccountsPayableCurrent,USD,25098000000,,2016-03-26,2016-04-27,0001193125-16-559625,10-Q,CY2016Q1I,2016,Q2
us-gaap,AccountsPayableCurrent,USD,26318000000,,2016-06-25,2016-07-27,0001628280-16-017809,10-Q,CY2016Q2I,2016,Q3
us-gaap,AccountsPayableCurrent,USD,37294000000,,2016-09-24,2016-10-26,0001628280-16-020309,10-K,,2016,FY
us-gaap,AccountsPayableCurrent,USD,37294000000,,2016-09-24,2017-02-01,0001628280-17-000717,10-Q,,2017,Q1
us-gaap,AccountsPayableCurrent,USD,37294000000,,2016-09-24,2017-05-03,0001628280-17-004790,10-Q,,2017,Q2
us-gaap,AccountsPayableCurrent,USD,37294000000,,2016-09-24,2017-08-02,0000320193-17-000009,10-Q,,2017,Q3
us-gaap,AccountsPayableCurrent,USD,37294000000,,2016-09-24,2017-11-03,0000320193-17-000070,10-K,CY2016Q3I,2017,FY
us-gaap,AccountsPayableCurrent,USD,38510000000,,2016-12-31,2017-02-01,0001628280-17-000717,10-Q,CY2016Q4I,2017,Q1
us-gaap,AccountsPayableCurrent,USD,28573000000,,2017-04-01,2017-05-03,0001628280-17-004790,10-Q,CY2017Q1I,2017,Q2
us-gaap,AccountsPayableCurrent,USD,31915000000,,2017-07-01,2017-08-02,0000320193-17-000009,10-Q,CY2017Q2I,2017,Q3
us-gaap,AccountsPayableCurrent,USD,49049000000,,2017-09-30,2017-11-03,0000320193-17-000070,10-K,,2017,FY
us-gaap,AccountsPayableCurrent,USD,49049000000,,2017-09-30,2018-02-02,0000320193-18-000007,10-Q,,2018,Q1
us-gaap,AccountsPayableCurrent,USD,49049000000,,2017-09-30,2018-05-02,0000320193-18-000070,10-Q,,2018,Q2
us-gaap,AccountsPayableCurrent,USD,49049000000,,2017-09-30,2018-08-01,0000320193-18-000100,10-Q,,2018,Q3
us-gaap,AccountsPayableCurrent,USD,44242000000,,2017-09-30,2018-11-05,0000320193-18-000145,10-K,CY2017Q3I,2018,FY
us-gaap,AccountsPayableCurrent,USD,62985000000,,2017-12-30,2018-02-02,0000320193-18-000007,10-Q,CY2017Q4I,2018,Q1
us-gaap,AccountsPayableCurrent,USD,34311000000,,2018-03-31,2018-05-02,0000320193-18-000070,10-Q,CY2018Q1I,2018,Q2
us-gaap,AccountsPayableCurrent,USD,38489000000,,2018-06-30,2018-08-01,0000320193-18-000100,10-Q,CY2018Q2I,2018,Q3
us-gaap,AccountsPayableCurrent,USD,55888000000,,2018-09-29,2018-11-05,0000320193-18-000145,10-K,,2018,FY
us-gaap,AccountsPayableCurrent,USD,55888000000,,2018-09-29,2019-01-30,0000320193-19-000010,10-Q,,2019,Q1
us-gaap,AccountsPayableCurrent,USD,55888000000,,2018-09-29,2019-05-01,0000320193-19-000066,10-Q,,2019,Q2
us-gaap,AccountsPayableCurrent,USD,55888000000,,2018-09-29,2019-07-31,0000320193-19-000076,10-Q,,2019,Q3
us-gaap,AccountsPayableCurrent,USD,55888000000,,2018-09-29,2019-10-31,0000320193-19-000119,10-K,CY2018Q3I,2019,FY
us-gaap,AccountsPayableCurrent,USD,44293000000,,2018-12-29,2019-01-30,0000320193-19-000010,10-Q,CY2018Q4I,2019,Q1
us-gaap,AccountsPayableCurrent,USD,30443000000,,2019-03-30,2019-05-01,0000320193-19-000066,10-Q,CY2019Q1I,2019,Q2
us-gaap,AccountsPayableCurrent,USD,29115000000,,2019-06-29,2019-07-31,0000320193-19-000076,10-Q,CY2019Q2I,2019,Q3
us-gaap,AccountsPayableCurrent,USD,46236000000,,2019-09-28,2019-10-31,0000320193-19-000119,10-K,,2019,FY
us-gaap,AccountsPayableCurrent,USD,46236000000,,2019-09-28,2020-01-29,0000320193-20-000010,10-Q,,2020,Q1
us-gaap,AccountsPayableCurrent,USD,46236000000,,2019-09-28,2020-05-01,0000320193-20-000052,10-Q,,2020,Q2
us-gaap,AccountsPayableCurrent,USD,46236000000,,2019-09-28,2020-07-31,0000320193-20-000062,10-Q,,2020,Q3
us-gaap,AccountsPayableCurrent,USD,46236000000,,2019-09-28,2020-10-30,0000320193-20-000096,10-K,CY2019Q3I,2020,FY
us-gaap,AccountsPayableCurrent,USD,45111000000,,2019-12-28,2020-01-29,0000320193-20-000010,10-Q,CY2019Q4I,2020,Q1
us-gaap,AccountsPayableCurrent,USD,32421000000,,2020-03-28,2020-05-01,0000320193-20-000052,10-Q,CY2020Q1I,2020,Q2
us-gaap,AccountsPayableCurrent,USD,35325000000,,2020-06-27,2020-07-31,0000320193-20-000062,10-Q,CY2020Q2I,2020,Q3
us-gaap,AccountsPayableCurrent,USD,42296000000,,2020-09-26,2020-10-30,0000320193-20-000096,10-K,,2020,FY
us-gaap,AccountsPayableCurrent,USD,42296000000,,2020-09-26,2021-01-28,0000320193-21-000010,10-Q,,2021,Q1
us-gaap,AccountsPayableCurrent,USD,42296000000,,2020-09-26,2021-04-29,0000320193-21-000056,10-Q,,2021,Q2
us-gaap,AccountsPayableCurrent,USD,42296000000,,2020-09-26,2021-07-28,0000320193-21-000065,10-Q,,2021,Q3
us-gaap,AccountsPayableCurrent,USD,42296000000,,2020-09-26,2021-10-29,0000320193-21-000105,10-K,CY2020Q3I,2021,FY
us-gaap,AccountsPayableCurrent,USD,63846000000,,2020-12-26,2021-01-28,0000320193-21-000010,10-Q,CY2020Q4I,2021,Q1
us-gaap,AccountsPayableCurrent,USD,40127000000,,2021-03-27,2021-04-29,0000320193-21-000056,10-Q,CY2021Q1I,2021,Q2
us-gaap,AccountsPayableCurrent,USD,40409000000,,2021-06-26,2021-07-28,0000320193-21-000065,10-Q,CY2021Q2I,2021,Q3
us-gaap,AccountsPayableCurrent,USD,54763000000,,2021-09-25,2021-10-29,0000320193-21-000105,10-K,,2021,FY
us-gaap,AccountsPayableCurrent,USD,54763000000,,2021-09-25,2022-01-28,0000320193-22-000007,10-Q,,2022,Q1
us-gaap,AccountsPayableCurrent,USD,54763000000,,2021-09-25,2022-04-29,0000320193-22-000059,10-Q,,2022,Q2
us-gaap,AccountsPayableCurrent,USD,54763000000,,2021-09-25,2022-07-29,0000320193-22-000070,10-Q,,2022,Q3
us-gaap,AccountsPayableCurrent,USD,54763000000,,2021-09-25,2022-10-28,0000320193-22-000108,10-K,CY2021Q3I,2022,FY
us-gaap,AccountsPayableCurrent,USD,74362000000,,2021-12-25,2022-01-28,0000320193-22-000007,10-Q,CY2021Q4I,2022,Q1
us-gaap,AccountsPayableCurrent,USD,52682000000,,2022-03-26,2022-04-29,0000320193-22-000059,10-Q,CY2022Q1I,2022,Q2
us-gaap,AccountsPayableCurrent,USD,48343000000,,2022-06-25,2022-07-29,0000320193-22-000070,10-Q,CY2022Q2I,2022,Q3
us-gaap,AccountsPayableCurrent,USD,64115000000,,2022-09-24,2022-10-28,0000320193-22-000108,10-K,,2022,FY
us-gaap,AccountsPayableCurrent,USD,64115000000,,2022-09-24,2023-02-03,0000320193-23-000006,10-Q,,2023,Q1
us-gaap,AccountsPayableCurrent,USD,64115000000,,2022-09-24,2023-05-05,0000320193-23-000064,10-Q,,2023,Q2
us-gaap,AccountsPayableCurrent,USD,64115000000,,2022-09-24,2023-08-04,0000320193-23-000077,10-Q,,2023,Q3
us-gaap,AccountsPayableCurrent,USD,64115000000,,2022-09-24,2023-11-03,0000320193-23-000106,10-K,CY2022Q3I,2023,FY
us-gaap,AccountsPayableCurrent,USD,57918000000,,2022-12-31,2023-02-03,0000320193-23-000006,10-Q,CY2022Q4I,2023,Q1
