,Revenue,EBIT,TotalAssets,TotalDebt,CapEx
2023-09-30,,,,,
2023-12-31,,,,,
2024-03-31,14461000000.0,1563000000.0,137169000000.0,62871000000.0,373000000.0
2024-06-30,15769000000.0,2434000000.0,133848000000.0,59839000000.0,444000000.0
2024-09-30,14967000000.0,2177000000.0,134339000000.0,60126000000.0,424000000.0
2024-12-31,17553000000.0,3901000000.0,137175000000.0,58396000000.0,444000000.0
2025-03-31,14541000000.0,1765000000.0,145667000000.0,66835000000.0,395000000.0
